frame,track_id,x1,y1,x2,y2
4,2,479,497,975,1011
5,2,477,501,972,1014
6,2,476,502,970,1014
7,2,474,503,967,1015
8,2,481,493,968,997
9,2,481,491,968,994
10,2,482,490,969,994
11,2,485,489,973,993
12,2,490,488,980,991
13,2,491,487,980,988
14,2,493,486,980,986
15,2,494,484,980,984
16,2,496,483,981,981
17,2,497,482,981,979
18,2,499,481,981,976
19,2,500,480,981,974
20,2,502,479,982,972
21,2,503,478,982,969
22,2,505,477,982,967
23,2,506,475,982,965
24,2,507,474,983,962
25,2,509,473,983,960
26,2,510,472,983,958
27,2,512,471,983,955
28,2,513,470,984,953
29,2,515,469,984,951
29,3,645,484,1310,987
30,2,516,468,984,948
30,3,642,484,1304,984
30,4,744,84,1499,179
31,2,518,466,984,946
31,3,639,483,1298,981
31,4,744,84,1499,179
32,2,519,465,985,943
32,3,636,482,1293,979
32,4,745,84,1500,179
33,2,521,464,985,941
33,3,634,482,1289,977
33,4,745,84,1500,179
34,2,522,463,985,939
34,3,632,481,1285,975
34,4,745,84,1500,179
35,2,524,462,985,936
35,3,629,480,1280,972
35,4,745,84,1500,179
36,2,525,461,986,934
36,3,625,478,1274,969
36,4,745,84,1500,179
37,2,526,460,986,932
37,3,623,477,1270,968
37,4,745,84,1500,179
38,2,528,459,986,929
38,3,620,476,1265,966
38,4,745,84,1500,179
39,2,529,458,986,927
39,3,617,476,1261,965
39,4,745,84,1500,179
40,2,531,456,987,925
40,3,617,477,1259,965
40,4,745,84,1500,179
41,2,532,455,987,922
41,3,614,476,1255,964
41,4,745,84,1500,179
42,2,534,454,987,920
42,3,612,476,1251,962
42,4,745,84,1500,179
43,3,640,469,1275,950
43,4,745,84,1500,179
44,3,649,465,1284,945
44,4,745,84,1500,179
45,3,656,462,1290,940
45,4,745,84,1500,179
46,3,658,461,1291,936
46,4,746,84,1500,179
47,3,669,456,1299,927
47,4,746,84,1501,179
48,3,675,452,1308,922
48,4,746,84,1501,179
49,3,679,450,1310,918
49,4,746,84,1501,179
50,3,683,448,1312,914
50,4,746,84,1501,179
51,3,688,446,1314,910
51,4,746,84,1501,179
52,3,692,444,1315,906
52,4,746,84,1501,179
53,3,696,441,1317,902
53,4,746,84,1501,179
54,3,700,439,1319,897
54,4,746,84,1501,179
55,3,705,437,1320,893
55,4,746,84,1501,179
56,3,709,435,1322,889
56,4,746,84,1501,179
57,3,713,433,1324,885
57,4,746,84,1501,179
58,3,718,430,1326,881
58,4,746,84,1501,179
59,3,722,428,1327,877
59,4,746,84,1501,179
60,3,670,437,1291,889
60,4,746,84,1501,179
61,3,674,437,1300,887
62,3,679,436,1311,885
63,3,681,434,1312,882
64,3,693,432,1332,879
65,3,699,430,1343,877
66,3,704,429,1352,874
67,3,708,430,1360,873
68,3,711,428,1367,870
69,3,712,427,1372,868
70,3,712,425,1376,865
71,3,712,425,1378,864
72,3,710,424,1379,861
73,3,708,422,1380,860
74,3,705,421,1378,858
75,3,703,421,1378,857
76,3,699,420,1377,856
77,3,696,419,1373,854
78,3,697,418,1373,852
79,3,688,417,1366,851
80,3,683,417,1362,851
81,3,683,416,1361,849
82,3,683,415,1360,847
83,3,683,414,1358,846
84,3,683,413,1357,844
85,3,683,412,1356,842
86,3,686,411,1356,836
87,3,694,410,1365,834
88,3,701,409,1375,832
89,3,706,408,1385,832
90,3,713,408,1394,830
91,3,718,407,1401,827
92,3,722,404,1407,824
93,3,725,404,1412,822
94,3,728,404,1418,822
95,3,729,402,1420,818
96,3,730,401,1422,815
97,3,729,400,1424,813
98,3,728,399,1425,812
99,3,727,398,1424,810
100,3,724,397,1422,808
101,3,721,396,1419,805
102,3,717,395,1415,803
103,3,712,394,1411,801
104,3,707,392,1406,799
105,3,701,391,1399,796
106,3,696,390,1393,794
